id,SPAD,1B,2G,3R,4Red Edge,5Red Edge,6NIR,DVI
1,80,0.017501,0.054781,0.022978,0.158624,0.320908,0.347233,0.324255
2,65,0.019915,0.090318,0.03194,0.237072,0.401695,0.423299,0.391359
3,64,0.021495,0.093929,0.037342,0.214824,0.371101,0.393403,0.356061
4,81,0.016878,0.050021,0.0223,0.143756,0.297612,0.332168,0.309868
5,75,0.01715,0.064336,0.027235,0.172064,0.333202,0.362945,0.33571
6,74,0.016125,0.063142,0.022687,0.18128,0.358725,0.389726,0.367039
7,73,0.018463,0.064257,0.028342,0.165648,0.316163,0.345617,0.317275
8,76,0.017096,0.06898,0.024718,0.190724,0.367102,0.389922,0.365204
9,75,0.016173,0.055218,0.022122,0.154675,0.323862,0.357753,0.335631
10,73,0.015847,0.060588,0.023216,0.17113,0.342303,0.371317,0.348101
11,81,0.01539,0.057377,0.022896,0.153722,0.28658,0.312643,0.289747
12,76,0.014987,0.059145,0.023478,0.153492,0.285358,0.309435,0.285957
13,68,0.016063,0.077534,0.027432,0.192875,0.347108,0.370091,0.342659
14,69,0.017065,0.067683,0.025575,0.189437,0.380384,0.410674,0.385099
15,70,0.015794,0.061192,0.022124,0.168087,0.327364,0.342847,0.320723
16,80,0.015712,0.053605,0.020412,0.158941,0.336935,0.369062,0.34865
17,68,0.016851,0.071932,0.026471,0.183623,0.341714,0.367804,0.341333
18,78,0.016691,0.059247,0.024224,0.167723,0.336699,0.359624,0.3354
19,74,0.016505,0.055147,0.021936,0.163565,0.340722,0.373448,0.351512
20,82,0.015134,0.060226,0.021853,0.164015,0.332288,0.362168,0.340315
21,80,0.013713,0.051117,0.018679,0.149871,0.294865,0.328421,0.309742
22,77,0.01599,0.066125,0.025066,0.175764,0.341425,0.367221,0.342155
23,81,0.012692,0.05536,0.020898,0.153891,0.281537,0.310529,0.289631
24,75,0.017127,0.067365,0.026049,0.176129,0.325401,0.346417,0.320368
25,83,0.014468,0.052242,0.020491,0.140851,0.284615,0.312938,0.292447
26,71,0.017348,0.081697,0.030218,0.198476,0.366283,0.391646,0.361428
27,79,0.01551,0.053593,0.021708,0.146252,0.287583,0.31561,0.293902
28,86,0.012892,0.045068,0.018333,0.130785,0.285232,0.314603,0.29627
29,80,0.014386,0.056706,0.02055,0.151675,0.29613,0.319819,0.299269
30,60,0.01536,0.074242,0.026624,0.177425,0.314734,0.332738,0.306114
31,78,0.01313,0.042973,0.017975,0.125828,0.250075,0.277314,0.259339
32,79,0.016572,0.053005,0.021252,0.157107,0.333398,0.362758,0.341506
33,78,0.014202,0.059207,0.019905,0.166034,0.333528,0.360432,0.340527
34,72,0.01707,0.068278,0.02626,0.175303,0.325957,0.350851,0.324591
35,79,0.014493,0.051896,0.020108,0.147549,0.304219,0.332914,0.312806
36,75,0.014303,0.047293,0.017964,0.144325,0.330778,0.364988,0.347024
37,83,0.014349,0.047184,0.019114,0.138724,0.299579,0.331257,0.312143
38,84,0.014918,0.044712,0.019286,0.127587,0.285812,0.30994,0.290654
39,84,0.014797,0.046881,0.018872,0.139958,0.287521,0.313754,0.294882
40,76,0.015698,0.062763,0.024908,0.160835,0.312617,0.338255,0.313347
41,68,0.012821,0.059143,0.021065,0.155423,0.291196,0.314397,0.293332
42,79,0.013759,0.051984,0.021774,0.144094,0.269797,0.300517,0.278743
43,70,0.016815,0.073768,0.02957,0.172971,0.310451,0.329346,0.299776
44,78,0.015253,0.055007,0.022034,0.146614,0.283779,0.308877,0.286843
45,71,0.01504,0.065304,0.021973,0.166891,0.321281,0.339848,0.317875
46,72,0.014414,0.065565,0.023348,0.166681,0.324535,0.352262,0.328914
47,67,0.016445,0.069112,0.028128,0.170799,0.306855,0.331221,0.303093
48,83,0.014445,0.04644,0.018064,0.151644,0.328466,0.362598,0.344534
49,84,0.015299,0.05557,0.020538,0.155354,0.314918,0.342667,0.322129
50,65,0.019462,0.117646,0.039475,0.246715,0.396697,0.397958,0.358483
